date,num
2017/1/1,10930
2017/1/2,10318
2017/1/3,10595
2017/1/4,10972
2017/1/5,7706
2017/1/6,6756
2017/1/7,9722
2017/1/8,10913
2017/1/9,11151
2017/1/10,8186
2017/1/11,6422
2017/1/12,6337
2017/1/13,11649
2017/1/14,11652
2017/1/15,10310
2017/1/16,12043
2017/1/17,7937
2017/1/18,6476
2017/1/19,9662
2017/1/20,9570
2017/1/21,9981
2017/1/22,9331
2017/1/23,9449
2017/1/24,6773
2017/1/25,6304
2017/1/26,9355
2017/1/27,10477
2017/1/28,10148
2017/1/29,10395
2017/1/30,11261
2017/1/31,8713
2017/2/1,7299
2017/2/2,10424
2017/2/3,10795
2017/2/4,11069
2017/2/5,11602
2017/2/6,11427
2017/2/7,9095
2017/2/8,7707
2017/2/9,10767
2017/2/10,12136
2017/2/11,12812
2017/2/12,12006
2017/2/13,12528
2017/2/14,10329
2017/2/15,7818
2017/2/16,11719
2017/2/17,11683
2017/2/18,12603
2017/2/19,11495
2017/2/20,13670
2017/2/21,11337
2017/2/22,10232
2017/2/23,13261
2017/2/24,13230
2017/2/25,15535
2017/2/26,16837
2017/2/27,19598
2017/2/28,14823
2017/3/1,11622
2017/3/2,19391
2017/3/3,18177
2017/3/4,19994
2017/3/5,14723
2017/3/6,15694
2017/3/7,13248
2017/3/8,9543
2017/3/9,12872
2017/3/10,13101
2017/3/11,15053